treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
2273,y,1715,y,y,n,n,4,n,y,y,n,n,n
22750,n,35,n,n,n,n,3,n,n,n,n,n,n
22766,n,13,n,n,n,n,3,n,n,n,n,n,n
22808,y,839,n,n,n,n,3,y,n,n,n,n,n
22862,n,2,n,n,n,n,3,n,n,n,n,n,n
22903,n,1,n,n,n,n,3,n,n,n,n,n,n
22977,y,367,n,n,n,n,4,n,n,n,n,n,n
23007,y,817,y,n,n,n,4,n,n,n,n,n,n
23009,y,1226,n,y,y,n,3,y,n,n,n,n,n
2303,y,6600,y,y,y,n,4,n,n,n,n,y,n
23136,y,381,y,n,n,n,4,n,n,n,n,n,n
23187,y,868,n,n,n,n,4,n,n,n,n,n,n
23199,y,4465,n,y,y,n,4,y,n,n,n,n,n
23207,y,831,n,n,n,n,4,y,n,n,n,n,n
23208,y,525,n,n,n,n,2,n,n,n,n,n,n
23225,y,4267,y,y,y,n,4,n,y,n,n,n,n
2327,y,429,n,y,n,n,5,n,n,n,n,n,n
23270,n,0,n,n,n,n,3,n,n,n,n,n,n
23274,n,0,n,n,n,n,3,n,n,n,n,n,n
23348,y,744,n,n,n,n,4,y,y,n,n,n,n
23432,y,17897,y,y,y,y,4,y,y,y,y,y,n
23443,y,1178,n,y,n,n,4,n,n,n,n,n,n
23448,y,884,n,n,y,n,4,y,n,n,n,n,n
23449,y,661,n,n,y,n,5,y,n,n,n,n,n
23527,y,311,n,n,n,n,3,n,n,n,n,n,n
23535,y,335,n,n,n,n,3,n,n,n,n,n,n
23551,y,399,n,n,n,n,4,n,n,n,n,n,n
23603,y,1222,n,y,n,n,4,y,n,y,n,n,n
23623,y,3638,y,y,n,n,4,y,n,n,n,y,n
23632,n,18,n,n,n,n,3,n,n,n,n,n,n
23645,y,2252,n,y,y,n,4,n,n,y,n,n,n
23691,y,1383,y,y,n,n,4,n,n,n,n,y,n
23751,y,3289,y,n,y,n,4,n,n,n,n,n,n
23805,n,3,n,n,n,n,3,n,n,n,n,n,n
23839,n,2,n,n,n,n,3,n,n,n,n,n,n
23960,n,3,n,n,n,n,3,n,n,n,n,n,n
24081,n,30,n,n,n,n,3,n,n,n,n,n,n
24164,n,27,n,n,n,n,3,n,n,n,n,n,n
24166,n,10,n,n,n,n,3,n,n,n,n,n,n
24298,n,1,n,n,n,n,3,n,n,n,n,n,n
24317,y,974,y,y,n,n,3,y,y,n,n,n,n
24377,y,3027,n,y,y,n,4,y,n,n,n,y,n
24378,y,3029,n,y,n,n,4,y,n,n,n,y,n
24428,n,28,n,n,n,n,3,n,n,n,n,n,n
24591,y,9867,y,y,y,y,4,y,y,n,y,y,n
24635,y,7218,y,y,y,n,4,y,y,n,n,y,n
24651,y,4017,y,y,y,n,3,y,y,n,n,n,n
24880,n,0,n,n,n,n,3,n,n,n,n,n,n
24992,y,1220,y,n,y,n,4,n,n,n,n,n,n
25028,n,3,n,n,n,n,3,n,n,n,n,n,n
25095,n,28,n,n,n,n,3,n,n,n,n,n,n
25118,y,326,n,n,n,n,4,n,n,n,n,n,n
25162,y,1084,n,n,y,n,4,y,n,n,n,n,n
25204,n,3,n,n,n,n,3,n,n,n,n,n,n
25227,n,12,n,n,n,n,3,n,n,n,n,n,n
25268,n,27,n,n,n,n,3,n,n,n,n,n,n
25278,y,1012,y,n,y,n,4,y,n,n,n,n,n
25297,n,2,n,n,n,n,3,n,n,n,n,n,n
25301,n,0,n,n,n,n,3,n,n,n,n,n,n
25344,n,3,n,n,n,n,3,n,n,n,n,n,n
25367,n,3,n,n,n,n,3,n,n,n,n,n,n
25404,n,0,n,n,n,n,3,n,n,n,n,n,n
25415,n,29,n,n,n,n,3,n,n,n,n,n,n
25432,n,28,n,n,n,n,3,n,n,n,n,n,n
25435,n,28,n,n,n,n,3,n,n,n,n,n,n
25451,y,678,y,n,n,n,3,y,n,n,n,n,n
25493,y,1343,n,y,n,n,4,y,n,y,n,n,n
25509,n,4,n,n,n,n,3,n,n,n,n,n,n
25571,n,77,y,n,n,n,3,n,n,n,n,n,n
25616,n,6,n,n,n,n,3,n,n,n,n,n,n
25702,y,1787,n,n,y,y,4,y,y,n,n,y,n
25714,n,8,n,n,n,n,3,n,n,n,n,n,n
25731,n,23,n,n,n,n,3,n,n,n,n,n,n
25780,y,597,n,n,n,n,3,y,n,n,n,n,n
25827,n,20,n,n,n,n,3,n,n,n,n,n,n
25961,n,4,n,n,n,n,3,n,n,n,n,n,n
25979,y,1654,y,y,y,n,5,y,n,n,n,n,n
25986,y,510,n,n,n,n,3,n,n,n,n,n,n
26053,n,3,n,n,n,n,3,n,n,n,n,n,n
26059,y,1921,y,n,y,n,4,n,n,n,n,y,n
26132,y,3804,n,y,y,n,4,n,y,n,n,n,n
26154,n,15,n,n,n,n,3,n,n,n,n,n,n
26165,y,585,n,n,y,n,4,n,n,n,n,n,n
26219,n,3,n,n,n,n,3,n,n,n,n,n,n
2623,n,89,n,n,n,n,3,n,n,n,n,n,n
2624,y,1376,n,y,y,n,5,n,y,n,n,y,n
26399,n,6,n,n,n,n,3,n,n,n,n,n,n
26432,n,19,n,n,n,n,3,n,n,n,n,n,n
26533,y,365,n,n,n,n,4,n,n,n,n,n,n
2655,y,188,n,n,n,n,4,n,n,n,n,n,n
26682,y,359,n,n,n,n,4,n,n,n,n,n,n
26691,y,12331,y,y,y,n,4,y,y,y,n,y,n
26771,y,375,n,n,n,n,4,n,n,n,n,n,n
2678,y,1978,n,y,n,n,4,n,n,n,n,n,n
26826,n,14,n,n,n,n,3,n,n,n,n,n,n
26856,y,615,n,n,n,n,3,n,n,n,n,n,n
26885,n,3,n,n,n,n,3,n,n,n,n,n,n
26920,y,1931,y,n,n,n,3,y,n,n,n,n,n
26947,y,696,n,n,n,n,5,n,n,n,n,n,n
26964,y,408,n,n,n,n,4,y,y,n,n,n,n
26966,y,238,n,n,y,n,3,n,y,n,n,n,n
2701,y,3042,y,y,y,n,4,n,n,n,n,n,n
27079,y,5187,n,y,y,n,4,y,n,n,n,n,n
27103,n,3,n,n,n,n,3,n,n,n,n,n,n
27234,n,17,n,n,n,n,3,n,n,n,n,n,n
27238,n,28,n,n,n,n,3,n,n,n,n,n,n
27296,y,3997,y,y,y,n,4,n,y,n,y,y,n
27447,y,2443,y,y,y,n,4,n,y,n,n,n,n
27487,n,0,n,n,n,n,3,n,n,n,n,n,n
27587,y,932,y,n,n,n,4,y,n,n,n,n,n
27603,y,1635,y,y,y,n,4,n,y,n,n,n,n
27627,y,7319,y,y,y,y,3,y,y,n,y,y,n
2763,y,2017,n,y,n,n,4,n,n,y,n,y,n
2764,y,2104,n,y,n,n,5,y,n,n,n,y,n
2765,y,1735,n,y,n,n,4,y,n,y,n,y,n
27717,n,3,n,n,n,n,3,n,n,n,n,n,n
2814,y,31369,y,n,y,n,4,y,n,n,n,y,n
2820,y,2002,n,n,y,y,3,n,n,n,n,n,n
2840,y,1519,n,y,y,y,4,y,n,n,n,n,n
28553,y,1021,n,y,n,n,4,n,n,n,n,y,n
2907,y,1606,n,n,y,n,4,y,n,n,n,y,n
29148,y,2488,n,y,y,n,4,y,n,n,n,n,n
29376,n,0,n,n,n,n,3,n,n,n,n,n,n
29463,y,1005,y,y,n,n,4,y,n,n,n,y,n
29467,y,8561,y,y,y,n,3,n,y,n,n,n,n
29516,n,106,n,n,n,n,3,n,n,n,n,n,n
2952,y,2441,y,n,n,n,4,y,n,n,n,y,n
2953,y,7676,y,y,y,n,4,y,y,n,n,y,n
29536,y,384,n,n,n,n,4,n,y,n,n,n,n
296,y,779,y,n,n,n,3,y,n,n,n,n,n
2961,y,1582,y,n,n,n,4,n,n,n,n,n,n
2962,y,894,n,y,y,n,5,y,n,n,n,n,n
29630,y,290,n,n,n,n,3,n,n,n,n,n,n
29658,y,318,n,n,n,n,5,n,n,n,n,n,n
297,y,1375,y,y,n,n,4,n,n,n,n,n,n
29744,n,198,y,n,n,n,3,n,n,n,n,n,n
2986,y,500,n,n,n,n,4,n,n,n,n,n,n
2989,y,344,n,n,n,n,4,n,n,n,n,n,n
2997,y,790,n,n,n,n,4,n,n,n,n,n,n
30082,y,1219,y,n,y,n,5,n,y,n,n,n,n
30093,y,261,n,n,n,n,4,y,n,n,n,n,n
30108,n,28,n,n,n,n,3,n,n,n,n,n,n
30198,n,4,n,n,n,n,3,n,n,n,n,n,n
30242,y,1528,n,n,y,n,5,y,n,n,n,n,n
30304,n,10,n,n,n,n,3,n,n,n,n,n,n
30308,y,1296,y,n,y,n,4,n,n,n,n,y,n
30322,y,454,n,n,n,n,3,n,n,n,n,n,n
30325,y,4397,n,y,y,n,4,y,y,n,n,n,n
30332,y,1151,n,n,y,n,3,y,y,n,n,n,n
30349,y,364,n,n,n,n,3,n,n,n,n,n,n
30427,n,27,n,n,n,n,3,n,n,n,n,n,n
30453,n,9,n,n,n,n,3,n,n,n,n,n,n
30458,y,835,y,y,y,n,4,n,n,n,n,n,n
30527,n,12,n,n,n,n,3,n,n,n,n,n,n
30673,y,11203,y,y,y,n,3,y,y,n,n,y,n
30677,y,1556,n,y,n,y,4,y,n,n,n,y,n
30714,y,310,n,n,n,n,5,n,n,n,n,n,n
30769,n,44,n,n,n,n,3,n,n,n,n,n,n
30780,y,138,n,n,n,n,5,n,n,n,n,n,n
30822,y,4707,y,y,y,n,3,y,y,n,n,y,n
30886,n,182,y,n,n,n,3,n,n,n,n,n,n
31010,n,3,n,n,n,n,3,n,n,n,n,n,n
31041,y,379,n,n,n,n,2,y,n,n,n,n,n
31069,y,1409,n,y,y,n,4,n,n,y,n,n,n
31113,n,218,n,n,n,n,3,n,n,n,n,n,n
31181,y,510,n,n,n,n,4,n,n,n,n,n,n
31223,y,3772,y,y,n,n,4,n,n,n,n,y,n
31243,n,131,n,n,n,n,5,n,n,n,n,n,n
31256,y,3089,y,y,n,n,4,n,y,y,n,n,n
31376,n,164,y,n,n,n,3,n,n,n,n,n,n
31395,n,165,y,n,n,n,3,n,n,n,n,n,n
31419,y,777,y,n,n,n,3,n,n,n,n,y,n
31548,y,165,n,n,n,n,3,n,n,n,n,n,n
31780,n,3,n,n,n,n,3,n,n,n,n,n,n
31799,n,22,n,n,n,n,5,n,n,n,n,n,n
31818,n,22,n,n,n,n,5,n,n,n,n,n,n
31861,y,1694,n,y,y,n,4,n,n,n,n,n,n
32005,y,10208,y,y,y,n,4,y,y,y,y,n,n
32022,y,8627,y,y,y,n,3,n,y,n,y,n,n
3229,y,146,n,n,n,n,3,n,n,n,n,n,n
32462,n,29,n,n,n,n,3,n,n,n,n,n,n
32549,y,601,n,n,y,n,4,y,y,n,n,n,n
32670,y,1104,n,y,n,n,2,y,n,n,n,y,n
32888,y,417,n,n,n,n,5,n,n,n,n,n,n
32922,n,3,n,n,n,n,3,n,n,n,n,n,n
32930,n,3,n,n,n,n,3,n,n,n,n,n,n
32990,n,3,n,n,n,n,3,n,n,n,n,n,n
33000,n,3,n,n,n,n,3,n,n,n,n,n,n
33364,y,393,n,n,n,n,2,y,n,n,n,n,n
33400,n,3,n,n,n,n,3,n,n,n,n,n,n
33405,y,826,n,y,n,n,5,n,n,y,n,n,n
33529,n,3,n,n,n,n,3,n,n,n,n,n,n
3364,y,4023,n,y,y,n,3,n,n,y,n,y,n
345,y,1783,n,y,n,n,2,n,y,n,n,n,n
34579,y,9481,y,y,y,n,4,y,y,y,y,n,n
3459,y,249,y,n,n,n,5,n,n,n,n,n,n
3500,y,1381,n,n,y,n,4,n,n,n,n,n,n
3501,y,3129,n,y,y,n,4,y,n,n,n,n,n
3663,y,6978,y,y,y,y,4,y,y,n,n,y,n
3738,y,621,n,n,n,n,3,y,n,n,n,n,n
38415,y,343,n,n,n,n,4,n,n,n,n,n,n
38544,n,0,n,n,n,n,3,n,n,n,n,n,n
39427,y,439,n,n,n,n,1,n,n,n,n,n,n
3988,y,6499,y,y,y,y,4,n,n,n,n,y,n
3992,y,8327,y,y,y,n,4,y,y,n,n,y,n
39989,y,1560,n,y,y,y,4,y,y,y,n,y,n
40153,y,3993,y,y,n,y,4,y,y,n,n,y,n
40324,y,127,y,y,y,y,4,y,y,y,n,y,n
4034,y,1732,y,y,y,n,4,y,n,n,n,n,n
41032,y,7901,y,y,y,n,2,y,y,n,y,y,n
41650,y,4223,y,y,y,n,4,y,y,y,n,y,n
41652,y,3121,y,y,y,n,4,y,n,y,n,y,n
4214,y,7814,y,y,y,n,3,y,y,n,n,y,n
43185,n,168,n,n,n,n,1,n,y,n,n,n,n
43452,y,4284,y,n,y,n,3,n,y,n,y,n,n
44848,n,108,n,n,n,n,3,n,n,n,n,n,n
449,y,3649,n,y,y,n,4,y,y,y,n,y,n
4493,y,3409,n,y,n,n,4,n,n,y,n,y,n
44960,n,221,n,n,n,n,3,n,n,n,n,n,n
44961,n,254,n,n,n,n,3,n,n,n,n,n,n
45080,n,159,n,n,n,n,3,n,n,n,n,n,n
45106,n,242,y,n,n,n,1,n,n,n,n,n,n
